time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
3445.4951480861223 "" 1.3654451e-03 -1.9616373e-03 1596990 1300.40877 272.14154 8.6032432e+03 1.1550193e+01 1.8304602e+03 3.5723259e+00 9.6522109e+03 1.3169979e+01 0 "" "" "" "" 1300.40877 9.6992770e-04 272.14154 9.6350576e-04 -2.9819838e-03 -1.8235990e-03
3445.4965369696683 9.9884677e-01 1.3648737e-03 -1.9616419e-03 1596991 1300.41989 272.14699 8.5932266e+03 1.1545360e+01 1.8286669e+03 3.5682235e+00 9.6340684e+03 1.3164468e+01 0 "" "" "" "" 1300.41989 9.6850022e-04 272.14699 9.6546527e-04 9.1563025e-03 4.9375519e-03
3445.4979258529816 9.9779326e-01 1.3650330e-03 -1.9616468e-03 1596992 1300.39989 272.13293 8.5877568e+03 1.1546707e+01 1.8321829e+03 3.5752323e+00 9.6239072e+03 1.3166004e+01 0 "" "" "" "" 1300.39989 9.6943270e-04 272.13293 9.6537801e-04 -1.4061860e-02 -1.0264350e-02
3445.4993147362943 9.9850535e-01 1.3656925e-03 -1.9616517e-03 1596993 1300.40427 272.13765 8.5995664e+03 1.1552285e+01 1.8331547e+03 3.5738132e+00 9.6307754e+03 1.3172365e+01 0 "" "" "" "" 1300.40427 9.6930820e-04 272.13765 9.6532976e-04 -7.1611083e-03 -6.1452454e-03
3445.5020925029207 9.9554211e-01 1.3645911e-03 -1.9616615e-03 1596995 1300.41203 272.14745 8.5740947e+03 1.1542970e+01 1.8373408e+03 3.5765331e+00 9.6021943e+03 1.3161742e+01 0 "" "" "" "" 1300.41203 9.6987595e-04 272.14745 9.6844585e-04 1.5015805e-03 6.0997484e-03
3445.5034813862335 9.9766350e-01 1.3661167e-03 -1.9616664e-03 1596996 1300.41421 272.13902 8.5946602e+03 1.1555874e+01 1.8372327e+03 3.5773489e+00 9.6226553e+03 1.3176456e+01 0 "" "" "" "" 1300.41421 9.6913840e-04 272.13902 9.6420193e-04 3.6290560e-03 -4.9345647e-03
3445.5048702695462 1.0003953e+00 1.3674601e-03 -1.9616713e-03 1596997 1300.41355 272.15161 8.6247998e+03 1.1567239e+01 1.8403936e+03 3.5758507e+00 9.6490039e+03 1.3189415e+01 0 "" "" "" "" 1300.41355 9.6534472e-04 272.15161 9.5980702e-04 3.3697186e-03 1.5252249e-02
3445.506259153092 9.9802011e-01 1.3671666e-03 -1.9616759e-03 1596998 1300.41805 272.14110 8.6079844e+03 1.1564755e+01 1.8406765e+03 3.5780702e+00 9.6260947e+03 1.3186584e+01 0 "" "" "" "" 1300.41805 9.6827169e-04 272.14110 9.6083933e-04 7.9883747e-03 -2.0637030e-03
3445.5118146863447 9.9935871e-01 1.3678930e-03 -1.9616955e-03 1597002 1300.40057 272.12314 8.6192988e+03 1.1570899e+01 1.8489138e+03 3.5842028e+00 9.6390059e+03 1.3193589e+01 0 "" "" "" "" 1300.40057 9.6845394e-04 272.12314 9.6071011e-04 -1.2894097e-02 -2.3715751e-02
3445.513203569657 1.0002931e+00 1.3682964e-03 -1.9617004e-03 1597003 1300.39735 272.11938 8.6242686e+03 1.1574311e+01 1.8456752e+03 3.5866022e+00 9.6480186e+03 1.3197481e+01 0 "" "" "" "" 1300.39735 9.6879422e-04 272.11938 9.5965352e-04 -1.6074708e-02 -2.6229993e-02
