time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1764.6857430485736 1.0061561e+00 1.3459874e-03 1.3149491e-03 386805 145.40462 756.52680 9.3771709e+03 1.2209460e+01 1.2678594e+03 4.4118228e+00 9.9676816e+03 1.3334286e+01 0 "" "" "" "" 145.40462 1.1628276e-03 756.52680 1.0253651e-03 4.6462040e-02 3.6074996e-02
1764.6871319727156 1.0046021e+00 1.3452556e-03 1.3149850e-03 386806 145.40616 756.52491 9.3687227e+03 1.2208542e+01 1.2711217e+03 4.4150810e+00 9.9569492e+03 1.3333282e+01 0 "" "" "" "" 145.40616 1.1631218e-03 756.52491 1.0247444e-03 4.7456056e-02 3.4636110e-02
1764.688520896741 1.0025529e+00 1.3436944e-03 1.3150207e-03 386807 145.40058 756.52718 9.3601572e+03 1.2204313e+01 1.2739882e+03 4.4184670e+00 9.9447402e+03 1.3328666e+01 0 "" "" "" "" 145.40058 1.1634169e-03 756.52718 1.0254311e-03 4.0733140e-02 3.5446398e-02
1764.689909820767 1.0057325e+00 1.3453531e-03 1.3150565e-03 386808 145.41070 756.53082 9.3969307e+03 1.2230639e+01 1.2697275e+03 4.4237671e+00 9.9854736e+03 1.3357415e+01 0 "" "" "" "" 145.41070 1.1602410e-03 756.53082 1.0242112e-03 5.1642541e-02 3.9375216e-02
1764.6912987447934 1.0015756e+00 1.3428949e-03 1.3150922e-03 386809 145.40440 756.52598 9.3553164e+03 1.2209253e+01 1.2822369e+03 4.4234757e+00 9.9449854e+03 1.3334060e+01 0 "" "" "" "" 145.40440 1.1648145e-03 756.52598 1.0274792e-03 4.4102971e-02 3.4207631e-02
1764.6926876688187 1.0032754e+00 1.3437833e-03 1.3151279e-03 386810 145.40161 756.52474 9.3722266e+03 1.2217460e+01 1.2763676e+03 4.4267092e+00 9.9619668e+03 1.3343022e+01 0 "" "" "" "" 145.40161 1.1612427e-03 756.52474 1.0264443e-03 4.3124903e-02 3.5148352e-02
1764.694076592844 1.0055301e+00 1.3438414e-03 1.3151637e-03 386811 145.40497 756.52543 9.3898525e+03 1.2218805e+01 1.2716155e+03 4.4143543e+00 9.9850244e+03 1.3344492e+01 0 "" "" "" "" 145.40497 1.1610744e-03 756.52543 1.0230767e-03 4.5328815e-02 3.5097111e-02
1764.6954655168697 1.0033808e+00 1.3441431e-03 1.3151994e-03 386812 145.40783 756.52722 9.3778418e+03 1.2222145e+01 1.2675916e+03 4.4316306e+00 9.9641680e+03 1.3348140e+01 0 "" "" "" "" 145.40783 1.1625751e-03 756.52722 1.0252037e-03 4.8613098e-02 3.5491738e-02
1764.696854440895 1.0055220e+00 1.3444608e-03 1.3152352e-03 386813 145.40718 756.53065 9.3954180e+03 1.2226534e+01 1.2733890e+03 4.4229569e+00 9.9866562e+03 1.3352932e+01 0 "" "" "" "" 145.40718 1.1610985e-03 756.53065 1.0245683e-03 4.7178883e-02 4.0593870e-02
1764.6982433649207 1.0043616e+00 1.3435917e-03 1.3152709e-03 386814 145.40214 756.52717 9.3721533e+03 1.2219254e+01 1.2792811e+03 4.4250484e+00 9.9756396e+03 1.3344981e+01 0 "" "" "" "" 145.40214 1.1627699e-03 756.52717 1.0255591e-03 4.2772502e-02 3.4436733e-02
1764.699632288946 9.9751180e-01 1.3402144e-03 1.3153066e-03 386815 145.40343 756.52769 9.3417207e+03 1.2193129e+01 1.2644148e+03 4.4147072e+00 9.9113369e+03 1.3316449e+01 0 "" "" "" "" 145.40343 1.1641086e-03 756.52769 1.0276745e-03 4.4393737e-02 3.5909504e-02
1764.7010212129721 1.0018893e+00 1.3418471e-03 1.3153424e-03 386816 145.40688 756.53015 9.3626904e+03 1.2207983e+01 1.2712985e+03 4.4205918e+00 9.9548320e+03 1.3332673e+01 0 "" "" "" "" 145.40688 1.1647816e-03 756.53015 1.0269699e-03 4.7501348e-02 4.2046621e-02
1764.7024101368818 1.0014588e+00 1.3412146e-03 1.3153780e-03 386817 145.40639 756.52797 9.3624424e+03 1.2202229e+01 1.2693116e+03 4.4132752e+00 9.9505537e+03 1.3326388e+01 0 "" "" "" "" 145.40639 1.1638136e-03 756.52797 1.0272539e-03 4.8017323e-02 3.9142437e-02
1764.7037990609074 1.0000000e+00 1.3414598e-03 1.3154137e-03 386818 145.40506 756.52295 9.3592715e+03 1.2207223e+01 1.2730686e+03 4.4192028e+00 9.9383076e+03 1.3331841e+01 0 "" "" "" "" 145.40506 1.1644554e-03 756.52295 1.0276003e-03 4.5538768e-02 2.9699707e-02
1764.7051879848163 1.0040542e+00 1.3425992e-03 1.3154494e-03 386819 145.40588 756.53188 9.3900596e+03 1.2218417e+01 1.2732755e+03 4.4152646e+00 9.9792764e+03 1.3344068e+01 0 "" "" "" "" 145.40588 1.1601985e-03 756.53188 1.0245162e-03 4.8404105e-02 4.1307412e-02
1764.706576908842 1.0001931e+00 1.3414908e-03 1.3154851e-03 386820 145.40223 756.52703 9.3568809e+03 1.2208336e+01 1.2768210e+03 4.4230814e+00 9.9409053e+03 1.3333058e+01 0 "" "" "" "" 145.40223 1.1642216e-03 756.52703 1.0267739e-03 4.4040240e-02 3.5855293e-02
1764.707965832751 1.0039204e+00 1.3427747e-03 1.3155207e-03 386821 145.40490 756.53107 9.3871670e+03 1.2220356e+01 1.2763787e+03 4.4214163e+00 9.9782246e+03 1.3346185e+01 0 "" "" "" "" 145.40490 1.1599449e-03 756.53107 1.0238286e-03 4.5388944e-02 4.0070623e-02
