time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
3434.2702491801742 9.9999553e-01 1.3637830e-03 -1.8658299e-03 1588908 1300.12305 271.68002 8.4160010e+03 1.1536134e+01 1.9764578e+03 3.6501160e+00 9.6451484e+03 1.3153948e+01 0 "" "" "" "" 1300.12305 1.0624143e-03 271.68002 1.0089467e-03 -3.2081655e-01 -6.0003865e-01
3434.271638055731 9.9957007e-01 1.3636485e-03 -1.8658426e-03 1588909 1300.12673 271.68118 8.4132881e+03 1.1534996e+01 1.9803529e+03 3.6502883e+00 9.6410449e+03 1.3152651e+01 0 "" "" "" "" 1300.12673 1.0624611e-03 271.68118 1.0090780e-03 -3.1543067e-01 -6.0056776e-01
3434.2730269312865 1.0001472e+00 1.3638820e-03 -1.8658553e-03 1588910 1300.12328 271.67919 8.4163955e+03 1.1536971e+01 1.9744869e+03 3.6495812e+00 9.6466113e+03 1.3154902e+01 0 "" "" "" "" 1300.12328 1.0645835e-03 271.67919 1.0090247e-03 -3.1919003e-01 -6.0371256e-01
3434.274415806842 1.0011977e+00 1.3644947e-03 -1.8658680e-03 1588911 1300.12258 271.67869 8.4261445e+03 1.1542154e+01 1.9761350e+03 3.6503339e+00 9.6567432e+03 1.3160812e+01 0 "" "" "" "" 1300.12258 1.0625044e-03 271.67869 1.0083972e-03 -3.1986395e-01 -6.0292304e-01
3434.2758046823974 9.9873459e-01 1.3628409e-03 -1.8658807e-03 1588912 1300.12404 271.67909 8.4052861e+03 1.1528164e+01 1.9704224e+03 3.6483672e+00 9.6329863e+03 1.3144861e+01 0 "" "" "" "" 1300.12404 1.0651140e-03 271.67909 1.0098027e-03 -3.1806403e-01 -6.0418200e-01
3434.27719355807 9.9945760e-01 1.3633688e-03 -1.8658933e-03 1588913 1300.11893 271.67930 8.4062832e+03 1.1532630e+01 1.9774192e+03 3.6493461e+00 9.6399600e+03 1.3149953e+01 0 "" "" "" "" 1300.11893 1.0647954e-03 271.67930 1.0099873e-03 -3.2077816e-01 -6.0054117e-01
3434.2785824336256 1.0015965e+00 1.3640978e-03 -1.8659059e-03 1588914 1300.12399 271.67690 8.4243291e+03 1.1538796e+01 1.9747859e+03 3.6487851e+00 9.6605898e+03 1.3156984e+01 0 "" "" "" "" 1300.12399 1.0609439e-03 271.67690 1.0082035e-03 -3.1687939e-01 -6.0464257e-01
3434.2799713091817 1.0005747e+00 1.3641426e-03 -1.8659186e-03 1588915 1300.12475 271.67669 8.4192266e+03 1.1539175e+01 1.9710894e+03 3.6484709e+00 9.6507344e+03 1.3157416e+01 0 "" "" "" "" 1300.12475 1.0636364e-03 271.67669 1.0091565e-03 -3.1656700e-01 -6.0310644e-01
3434.281360184738 1.0019476e+00 1.3638112e-03 -1.8659313e-03 1588916 1300.12219 271.67910 8.4226426e+03 1.1536371e+01 1.9731284e+03 3.6475024e+00 9.6639766e+03 1.3154220e+01 0 "" "" "" "" 1300.12219 1.0623517e-03 271.67910 1.0088618e-03 -3.2117507e-01 -6.0496509e-01
3434.2827490602926 1.0019234e+00 1.3637278e-03 -1.8659440e-03 1588917 1300.12274 271.67603 8.4245898e+03 1.1535666e+01 1.9712795e+03 3.6497335e+00 9.6637432e+03 1.3153416e+01 0 "" "" "" "" 1300.12274 1.0619715e-03 271.67603 1.0076505e-03 -3.1824315e-01 -6.0644287e-01
3434.2841379358483 1.0004929e+00 1.3637979e-03 -1.8659567e-03 1588918 1300.12154 271.67494 8.4082344e+03 1.1536260e+01 1.9746261e+03 3.6523738e+00 9.6499453e+03 1.3154092e+01 0 "" "" "" "" 1300.12154 1.0640277e-03 271.67494 1.0100430e-03 -3.2098448e-01 -6.0648137e-01
3434.2855268115204 9.9847740e-01 1.3624987e-03 -1.8659693e-03 1588919 1300.12398 271.67840 8.3951484e+03 1.1525270e+01 1.9712522e+03 3.6485505e+00 9.6305059e+03 1.3141561e+01 0 "" "" "" "" 1300.12398 1.0650530e-03 271.67840 1.0106395e-03 -3.1799236e-01 -6.0375172e-01
3434.286915687077 1.0014317e+00 1.3630810e-03 -1.8659820e-03 1588920 1300.12513 271.67772 8.4199932e+03 1.1530196e+01 1.9678928e+03 3.6415710e+00 9.6590010e+03 1.3147178e+01 0 "" "" "" "" 1300.12513 1.0609205e-03 271.67772 1.0076967e-03 -3.1704873e-01 -6.0559106e-01
3434.2883045626327 9.9994743e-01 1.3625097e-03 -1.8659947e-03 1588921 1300.12221 271.67527 8.4064424e+03 1.1525363e+01 1.9696954e+03 3.6460657e+00 9.6446846e+03 1.3141666e+01 0 "" "" "" "" 1300.12221 1.0635837e-03 271.67527 1.0096963e-03 -3.1858373e-01 -6.0734320e-01
3434.2896934381884 1.0019197e+00 1.3632134e-03 -1.8660073e-03 1588922 1300.12386 271.67649 8.4212334e+03 1.1531316e+01 1.9693456e+03 3.6416774e+00 9.6637080e+03 1.3148455e+01 0 "" "" "" "" 1300.12386 1.0622747e-03 271.67649 1.0076026e-03 -3.1727359e-01 -6.0671741e-01
3434.291082313744 1.0020009e+00 1.3632475e-03 -1.8660200e-03 1588923 1300.12338 271.67644 8.4205898e+03 1.1531604e+01 1.9673774e+03 3.6408360e+00 9.6644912e+03 1.3148783e+01 0 "" "" "" "" 1300.12338 1.0605757e-03 271.67644 1.0082094e-03 -3.1857413e-01 -6.0648102e-01
3434.292471189415 9.9791336e-01 1.3612827e-03 -1.8660326e-03 1588924 1300.12155 271.67456 8.3822969e+03 1.1514983e+01 1.9662422e+03 3.6438370e+00 9.6250654e+03 1.3129832e+01 0 "" "" "" "" 1300.12155 1.0652348e-03 271.67456 1.0127462e-03 -3.2120293e-01 -6.0936987e-01
3434.2938600649713 1.0032609e+00 1.3633898e-03 -1.8660453e-03 1588925 1300.12448 271.67627 8.4279854e+03 1.1532807e+01 1.9627596e+03 3.6391935e+00 9.6766426e+03 1.3150155e+01 0 "" "" "" "" 1300.12448 1.0624463e-03 271.67627 1.0082414e-03 -3.1770882e-01 -6.0714787e-01
3434.2952489405275 1.0009191e+00 1.3624987e-03 -1.8660580e-03 1588926 1300.12167 271.67637 8.4105078e+03 1.1525270e+01 1.9660616e+03 3.6439707e+00 9.6540566e+03 1.3141561e+01 0 "" "" "" "" 1300.12167 1.0628250e-03 271.67637 1.0070178e-03 -3.1863889e-01 -6.0496920e-01
3434.2966378160836 1.0013275e+00 1.3629458e-03 -1.8660707e-03 1588927 1300.12334 271.67528 8.4101816e+03 1.1529052e+01 1.9695186e+03 3.6434658e+00 9.6579961e+03 1.3145873e+01 0 "" "" "" "" 1300.12334 1.0630831e-03 271.67528 1.0089377e-03 -3.1852141e-01 -6.0960537e-01
